orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
PWH27D30	Th	65	Dermis	AcuteWound	3282	230	3282	0.0198049969530774	Wound30
PWH27D7	Th	225	Dermis	AcuteWound	4046	666	4046	0.055610479485912	Wound7
PWH28D0	Th	91	Dermis	AcuteWound	2182	336	2182	0.041704857928506	Skin
PWH28D1	Th	102	Dermis	AcuteWound	1044	279	1044	0.0977011494252874	Wound1
PWH28D30	Th	145	Dermis	AcuteWound	4246	521	4246	0.0341497880357984	Wound30
PWH28D7	Th	232	Dermis	AcuteWound	3102	816	3102	0.0747904577691812	Wound7
VU1	Th	346	Dermis	VU	4871	1493	1493	0.231748158070998	VU
VU4	Th	127	Dermis	VU	3599	548	548	0.231751824817518	VU
VU5	Th	78	Dermis	VU	1893	279	279	0.279569892473118	VU
VU6	Th	209	Dermis	VU	4361	1048	1048	0.199427480916031	VU
DFU_H1	Treg	62	Dermis	DFU	2096	444	444	0.13963963963964	DFU_H
DFU_H2	Treg	21	Dermis	DFU	3614	174	174	0.120689655172414	DFU_H
DFU_H3	Treg	52	Dermis	DFU	6808	308	308	0.168831168831169	DFU_H
DFU_H4	Treg	49	Dermis	DFU	1538	433	433	0.113163972286374	DFU_H
DFU_H5	Treg	12	Dermis	DFU	3089	95	95	0.126315789473684	DFU_H
DFU_H6	Treg	57	Dermis	DFU	2543	376	376	0.151595744680851	DFU_H
DFU_H7	Treg	61	Dermis	DFU	3763	386	386	0.158031088082902	DFU_H
DFU_NH1	Treg	57	Dermis	DFU	1978	398	398	0.14321608040201	DFU_NH
DFU_NH2	Treg	7	Dermis	DFU	3892	60	60	0.116666666666667	DFU_NH
DFU_NH3	Treg	202	Dermis	DFU	7100	1369	1369	0.147552958363769	DFU_NH
DFU_NH4	Treg	7	Dermis	DFU	2272	65	65	0.107692307692308	DFU_NH
H1	Treg	70	Dermis	DFU	2644	556	556	0.12589928057554	H
H2	Treg	10	Dermis	DFU	2251	71	71	0.140845070422535	H
H3	Treg	32	Dermis	DFU	6547	283	283	0.113074204946996	H
H4	Treg	20	Dermis	DFU	2724	121	121	0.165289256198347	H
H5	Treg	35	Dermis	DFU	7526	320	320	0.109375	H
H6	Treg	4	Dermis	DFU	718	32	32	0.125	H
H7	Treg	7	Dermis	DFU	4848	71	71	0.0985915492957746	H
H8	Treg	3	Dermis	DFU	1313	44	44	0.0681818181818182	H
H9	Treg	4	Dermis	DFU	1474	40	40	0.1	H
NS23	Treg	66	Dermis	VU	2339	410	410	0.160975609756098	NS
NS24	Treg	28	Dermis	VU	2451	248	248	0.112903225806452	NS
NS36	Treg	6	Dermis	VU	2332	69	69	0.0869565217391304	NS
NS62E	Treg	18	Dermis	VU	2420	151	151	0.119205298013245	NS
NS63D	Treg	2	Dermis	VU	737	30	30	0.0666666666666667	NS
PWH26D0	Treg	30	Dermis	AcuteWound	2427	353	2427	0.0123609394313968	Skin
PWH26D1	Treg	23	Dermis	AcuteWound	1129	207	1129	0.0203720106288751	Wound1
PWH26D30	Treg	39	Dermis	AcuteWound	2061	392	2061	0.0189228529839884	Wound30
PWH26D7	Treg	59	Dermis	AcuteWound	2622	522	2622	0.0225019069412662	Wound7
PWH27D0	Treg	28	Dermis	AcuteWound	1607	205	1607	0.0174237710018668	Skin
PWH27D1	Treg	53	Dermis	AcuteWound	1782	513	1782	0.0297418630751964	Wound1
PWH27D30	Treg	34	Dermis	AcuteWound	3282	230	3282	0.0103595368677636	Wound30
PWH27D7	Treg	57	Dermis	AcuteWound	4046	666	4046	0.014087988136431	Wound7
PWH28D0	Treg	42	Dermis	AcuteWound	2182	336	2182	0.0192483959670028	Skin
PWH28D1	Treg	34	Dermis	AcuteWound	1044	279	1044	0.0325670498084291	Wound1
PWH28D30	Treg	56	Dermis	AcuteWound	4246	521	4246	0.0131888836552049	Wound30
PWH28D7	Treg	86	Dermis	AcuteWound	3102	816	3102	0.0277240490006447	Wound7
VU1	Treg	157	Dermis	VU	4871	1493	1493	0.105157401205626	VU
VU4	Treg	89	Dermis	VU	3599	548	548	0.162408759124088	VU
VU5	Treg	46	Dermis	VU	1893	279	279	0.164874551971326	VU
VU6	Treg	138	Dermis	VU	4361	1048	1048	0.131679389312977	VU
DFU_H1	Ttol	137	Dermis	DFU	2096	444	444	0.308558558558559	DFU_H
DFU_H2	Ttol	77	Dermis	DFU	3614	174	174	0.442528735632184	DFU_H
DFU_H3	Ttol	96	Dermis	DFU	6808	308	308	0.311688311688312	DFU_H
DFU_H4	Ttol	189	Dermis	DFU	1538	433	433	0.4364896073903	DFU_H
DFU_H5	Ttol	42	Dermis	DFU	3089	95	95	0.442105263157895	DFU_H
DFU_H6	Ttol	143	Dermis	DFU	2543	376	376	0.38031914893617	DFU_H
DFU_H7	Ttol	150	Dermis	DFU	3763	386	386	0.38860103626943	DFU_H
DFU_NH1	Ttol	140	Dermis	DFU	1978	398	398	0.351758793969849	DFU_NH
DFU_NH2	Ttol	28	Dermis	DFU	3892	60	60	0.466666666666667	DFU_NH
DFU_NH3	Ttol	496	Dermis	DFU	7100	1369	1369	0.362308254200146	DFU_NH
DFU_NH4	Ttol	28	Dermis	DFU	2272	65	65	0.430769230769231	DFU_NH
H1	Ttol	182	Dermis	DFU	2644	556	556	0.327338129496403	H
H2	Ttol	33	Dermis	DFU	2251	71	71	0.464788732394366	H
H3	Ttol	98	Dermis	DFU	6547	283	283	0.346289752650177	H
H4	Ttol	54	Dermis	DFU	2724	121	121	0.446280991735537	H
H5	Ttol	127	Dermis	DFU	7526	320	320	0.396875	H
H6	Ttol	14	Dermis	DFU	718	32	32	0.4375	H
H7	Ttol	30	Dermis	DFU	4848	71	71	0.422535211267606	H
H8	Ttol	20	Dermis	DFU	1313	44	44	0.454545454545455	H
H9	Ttol	18	Dermis	DFU	1474	40	40	0.45	H
NS23	Ttol	125	Dermis	VU	2339	410	410	0.304878048780488	NS
NS24	Ttol	97	Dermis	VU	2451	248	248	0.391129032258065	NS
NS36	Ttol	33	Dermis	VU	2332	69	69	0.478260869565217	NS
NS62E	Ttol	59	Dermis	VU	2420	151	151	0.390728476821192	NS
NS63D	Ttol	17	Dermis	VU	737	30	30	0.566666666666667	NS
