orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
DFU_NH1	pDC	3	Dermis	DFU	1978	244	244	0.0122950819672131	DFU_NH
DFU_NH2	pDC	0	Dermis	DFU	3892	29	29	0	DFU_NH
DFU_NH3	pDC	5	Dermis	DFU	7100	1575	1575	0.00317460317460317	DFU_NH
DFU_NH4	pDC	0	Dermis	DFU	2272	23	23	0	DFU_NH
H1	pDC	6	Dermis	DFU	2644	372	372	0.0161290322580645	H
H2	pDC	0	Dermis	DFU	2251	61	61	0	H
H3	pDC	2	Dermis	DFU	6547	243	243	0.00823045267489712	H
H4	pDC	0	Dermis	DFU	2724	25	25	0	H
H5	pDC	2	Dermis	DFU	7526	288	288	0.00694444444444444	H
H6	pDC	0	Dermis	DFU	718	20	20	0	H
H7	pDC	2	Dermis	DFU	4848	126	126	0.0158730158730159	H
H8	pDC	0	Dermis	DFU	1313	27	27	0	H
H9	pDC	0	Dermis	DFU	1474	15	15	0	H
NS23	pDC	1	Dermis	VU	2339	381	381	0.0026246719160105	NS
NS24	pDC	3	Dermis	VU	2451	465	465	0.00645161290322581	NS
NS36	pDC	0	Dermis	VU	2332	144	144	0	NS
NS62E	pDC	1	Dermis	VU	2420	204	204	0.00490196078431373	NS
NS63D	pDC	0	Dermis	VU	737	31	31	0	NS
PWH26D0	pDC	8	Dermis	AcuteWound	2427	569	2427	0.00329625051503914	Skin
PWH26D1	pDC	7	Dermis	AcuteWound	1129	390	1129	0.00620017714791851	Wound1
PWH26D30	pDC	8	Dermis	AcuteWound	2061	359	2061	0.00388161086851043	Wound30
PWH26D7	pDC	11	Dermis	AcuteWound	2622	770	2622	0.0041952707856598	Wound7
PWH27D0	pDC	4	Dermis	AcuteWound	1607	379	1607	0.00248911014312383	Skin
PWH27D1	pDC	5	Dermis	AcuteWound	1782	446	1782	0.00280583613916947	Wound1
PWH27D30	pDC	11	Dermis	AcuteWound	3282	390	3282	0.00335161486898233	Wound30
PWH27D7	pDC	16	Dermis	AcuteWound	4046	870	4046	0.00395452298566485	Wound7
PWH28D0	pDC	4	Dermis	AcuteWound	2182	460	2182	0.00183318056828598	Skin
PWH28D1	pDC	4	Dermis	AcuteWound	1044	321	1044	0.00383141762452107	Wound1
PWH28D30	pDC	9	Dermis	AcuteWound	4246	612	4246	0.00211964201601507	Wound30
PWH28D7	pDC	24	Dermis	AcuteWound	3102	850	3102	0.00773694390715667	Wound7
VU1	pDC	3	Dermis	VU	4871	758	758	0.00395778364116095	VU
VU4	pDC	1	Dermis	VU	3599	152	152	0.00657894736842105	VU
VU5	pDC	1	Dermis	VU	1893	354	354	0.00282485875706215	VU
VU6	pDC	3	Dermis	VU	4361	354	354	0.00847457627118644	VU
